,0
923,9281.51
924,9375.47
925,9477.14
926,9255.88
927,9256.52
928,9798.33
929,9779.2
930,9665.85
931,9462.75
932,9374.76
933,9396.04
934,9052.96
935,8881.12
936,8836.19
937,8508.43
938,8445.54
939,8274.12
940,8557.52
941,8423.25
942,8054.66
943,7738.6
944,7659.14
945,7526.42
946,7573.77
947,7608.9
948,7604.73
949,7753.82
950,7643.23
951,7680.43
952,7741.27
953,7698.19
954,6910.18
955,6907.96
956,6631.66
957,6707.14
958,6681.08
959,6781.14
960,6822.5
961,6821.56
962,6810.94
963,6747.08
964,6327.37
965,6290.16
966,6180
967,6170.41
968,6261.66
969,6683.86
970,6671.37
971,6749.54
972,6700.94
973,6838.68
974,6767.74
975,6444.96
976,6397.1
977,6310.55
978,6741.75
979,7387.24
980,7534.99
981,7494.46
982,7594.67
983,7771.5
984,8424.27
985,8416.87
986,8290.33
987,8262.66
988,8235.5
989,8181.53
990,7769.04
991,7712.77
992,7562.14
993,7166.55
994,7146.56
995,6746.85
996,6625.73
997,6591.26
998,6537.05
999,6287.94
1000,6588.49
1001,6473.5
1002,6582.5
1003,6536.92
1004,6500.87
1005,6816.79
1006,6546.54
1007,6719.96
1008,6884.64
1009,7109.56
1010,7113.3
1011,7072.69
1012,7057.17
1013,7388.26
1014,7388.43
1015,6755.14
1016,6555.29
1017,6374.98
1018,6398.92
1019,6363.87
1020,6535.41
1021,6596.1
1022,6540.21
1023,6384.18
1024,6448.46
1025,6529.26
1026,6794.33
1027,6713.56
1028,6603.64
1029,6585.91
1030,6712.1
1031,6785.03
1032,6653.3
1033,6611.84
1034,6571.46
1035,6603.31
1036,6623.62
1037,6675.06
1038,6661.41
1039,6640.29
1040,6586.74
1041,6328.5
1042,6965.06
1043,6673.59
1044,6601.21
1045,6567.54
1046,6493.68
1047,6543.8
1048,6506.01
1049,6521.99
1050,6504.65
1051,6498.29
1052,6503.6
1053,6364.99
1054,6349.16
1055,6547.14
1056,6396.86
1057,6480.59
1058,6463.55
1059,6552.16
1060,6536.92
1061,6456.46
1062,6434.21
1063,6395.27
1064,6371.55
1065,5774.82
1066,5657.02
1067,5620.78
1068,4951.61
1069,4675.73
1070,4396.42
1071,4107.14
1072,3862.96
1073,4385.9
1074,4413.02
1075,4322.98
1076,4155.98
1077,4075.63
1078,3512.59
1079,3647.33
1080,3513.18
1081,3534.23
1082,3489.74
1083,3329.56
1084,3597.92
1085,3701.35
1086,3949.32
1087,4191.23
1088,4198.43
1089,4271.79
1090,3893.36
1091,3874.42
1092,3956.14
1093,3868.74
1094,3947.98
1095,3935.69
1096,3865.93
1097,4092.61
1098,4109.02
1099,4068.4
1100,4064.07
1101,3713.88
1102,3727.84
1103,3720.15
1104,3685.78
1105,3680.14
1106,3682.52
1107,3620.75
1108,3623.07
1109,3616.09
1110,3612.93
1111,3586.75
1112,3476.07
1113,3495.17
1114,3504.8
1115,3501.95
1116,3476.22
1117,3478.15
1118,3469.09
1119,3427.95
1120,3695.61
1121,3695.61
1122,3668.59
1123,3669.75
1124,3646.26
1125,3647.8
1126,4010.88
1127,4000.49
1128,4010.01
1129,4006.54
1130,3913.71
1131,3891.58
1132,3888.8
1133,3906.06
1134,3907.8
1135,3867.38
1136,3903.92
1137,3919.51
1138,3939.37
1139,3950.43
1140,3966.38
1141,3926.89
1142,3926.6
1143,3946.5
1144,3968.54
1145,4071.56
1146,4082.22
1147,4089.46
1148,4097.36
1149,4053.91
1150,4038.84
1151,3985.08
1152,4087.07
1153,4094.9
1154,4113.5
1155,4164.95
1156,4905.95
1157,5307
1158,5063.16
1159,5053.51
1160,5318.84
1161,5289.92
1162,5421.65
1163,5354.23
1164,5103.27
1165,5196.61
1166,5238.95
1167,5274.28
1168,5319.99
1169,5422.69
1170,5633.8
1171,5642.04
1172,5542.24
1173,5383.63
1174,5311.27
1175,5363.26
1176,5418
1177,5522.26
1178,5865.88
1179,5802.96
1180,5988.18
1181,5989.98
1182,6183.04
1183,6434.62
1184,8047.41
1185,8268.71
1186,8216.42
1187,8320.82
1188,7929.15
1189,8200.97
1190,8062.17
1191,7997.61
1192,7943.79
1193,8140.72
1194,8807.02
1195,8755.85
1196,9008.31
1197,8586.66
1198,8743.5
1199,8210.99
1200,7901.85
1201,7937.34
1202,8126.15
1203,8031.91
1204,8026.39
1205,8196.65
1206,8311.57
1207,8710.64
1208,9416.41
1209,9348.37
1210,9299.62
1211,9594.42
1212,10144.56
1213,11065.9
1214,11790.92
1215,13796.49
1216,13311.14
1217,12445.18
1218,11206.44
